DATAFLOW,LAST UPDATE,freq,unit,age,sex,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 28 countries (2013-2020),2018,1483027,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 28 countries (2013-2020),2019,1599306,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2014,21,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2015,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2016,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2017,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2018,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2019,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2020,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2021,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2022,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Finland,2023,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2014,503711,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2015,495472,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2016,496714,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2017,501330,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2018,505057,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2019,539432,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2020,546900,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2021,565733,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2022,533210,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,France,2023,483219,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Georgia,2023,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Croatia,2014,107,,
